R,T
0.20673517340921155, 1189.5135843087323
1.619401226123279, 1189.39838315016
3.03265045281029, 1188.9993220602566
3.144692752362462, 1216.9627327532373
4.832835610546701, 1220.259196532059
6.7514779815376835, 1221.360022452198
10.37138462510418, 1219.3704636962054
13.203860611700897, 1215.6627772202528
15.414891833377474, 1211.9433300691792
18.592315224971507, 1205.3324942107836
20.57969922802345, 1200.47333072525
22.567083231075397, 1195.6141672397162
23.986747371464812, 1192.0926469051687
24.782050877069352, 1189.9786655521566
24.848751400225005, 1185.0121859061433
26.435567780609947, 1182.629312753772
27.739034506889954, 1180.666883736979
