R, T
0.14601218347625178, 1246.5704996586003
3.086666942054376, 1245.2067959206981
3.1416310890044974, 1273.4529973927265
4.372857139385869, 1279.153717369594
6.7928104368702025, 1283.7414498190947
7.753808247537912, 1283.475765476587
9.850828957503627, 1280.2509349007755
12.350895779521355, 1273.3434092836437
14.343674141823048, 1265.858541433296
16.911899421928798, 1253.2748863418228
19.42479607135133, 1240.1224422354032
21.36749436872632, 1229.5140459881277
23.543170668293072, 1215.503607174012
24.744727742800837, 1208.1457011573575
24.81288620088885, 1202.4695716830158
27.725621505512205, 1187.195662157598
